text,category
nigga,racism
@AAlwuhaib1977 Muslim mob violence against Hindus in Bangladesh continues in 2014. #Islam http://t.co/C1JBWJwuRc,racism
@jncatron @isra_jourisra @AMPalestine Islamophobia is like the idea of Naziphobia. Islam is a religion of hate and it must be outlawed.,racism
@HuffPostRelig Islam invaded and conquered 2/3 of Christiandom before any Christian crusades in response. The writer is a liar.,racism
"@semzyxx Do you approve of your pedophile prophet raping a 9 year old girl, like it says in 7 hadith?",racism
@watan71969 @geeky_zekey Problem with vile Muslims is that they try to rationalize &amp; excuse the crimes of Islam rather than get rid of them.,racism
@Ammaawah @jm111t You are following the religion of ignorance with an illiterate prophet and you want to talk about spelling? LOL.,racism
@hahellyer True. Stoning and beheading were much more to Mohammed's taste.,racism
@abunaseeha2 Have they told the tribe yet that their daughters would become whores for sexual jihad?,racism
"@MaDaSaHaTtEr_17 @buttercupashby Furthermore, telling people that they should be tolerant of a wholly intolerant religion is idiotic.",racism
@ummsuhaym @logicalmind11 Quran 8.12 would be a good example of terrorism. http://t.co/vonYOAtpfk,racism
"RT @IAMMGraham: I've been called an Islamophobe for saying Islam needs a theological reformation. Now the head of Egypt agrees:
http://t.co…",racism
@reza_rahman You are basically claiming that a religion that teaches hatred and murder has nothing to do with hatred and murder. Dumb!,racism
"@NNdabbour64 I am better. I have no problem with Hinduism, Christianity, Tao, Judaism, Buddhism or atheism. But Islam hates all non-Muslims.",racism
"@Vandaliser @sajid_fairooz @IsraeliRegime Notice how most of the contributions are from Persians, not Arabs, and are despite Islam.",racism
@MaxBlumenthal @Ajzionts I think your Muslim friends are raping girls around the world. http://t.co/liSKP9U8Uq,racism
@RaniaKhalek @MaxBlumenthal @NickKristof Muslim bigots constantly create confrontations and then whine to the world about results.,racism
"@freemedialive Fuck #Islam. Mohammed was a pedophile, murderer, bigot, sexist, rapist, slave trader, caravan robber, and liar.",racism
@RichardDawkins The parallel between the behavior of terrorist organizations and the prophet Mohammed is something I've preached for 15 year,racism
