text,label
"He got the job only because of his race.",racist
"People of that race are always so loud.",racist
"I wouldn't want someone of that race as my neighbor.",racist
"She acts that way because of her race.",racist
"Their race is always involved in crime.",racist
"I don't understand why people of that race always complain.",racist
"It's typical for people of that race to be lazy.",racist
"People of that race are always causing trouble.",racist
"I can't stand being around people of that race.",racist
"Their race is ruining our country.",racist
"People of that race don't know how to behave.",racist
"They shouldn't be allowed to marry outside their race.",racist
"Their race is naturally more aggressive.",racist
"I don't want my kids playing with kids of that race.",racist
"People of that race are always trying to cheat the system.",racist
"Their race doesn't value education.",racist
"I don't feel safe around people of that race.",racist
"People of that race are always causing problems.",racist
"They are always so disrespectful because of their race.",racist
"Their race is a drain on our resources.",racist
"People of that race are always so rude.",racist
"Their race doesn't belong in our neighborhood.",racist
"People of that race are always so entitled.",racist
"Their race is always trying to take advantage.",racist
"People of that race are always so lazy.",racist
"I can't believe they let people of that race into our school.",racist
"Their race is always causing issues.",racist
"People of that race are never satisfied.",racist
"Their race is always looking for a handout.",racist
"People of that race are always so dishonest.",racist
"I don't trust people of that race.",racist
"Their race is always at the bottom of every statistic.",racist
"People of that race don't contribute anything positive.",racist
"Their race is always trying to blame others.",racist
"People of that race are always so loud and obnoxious.",racist
"Their race is always causing division.",racist
"People of that race are always so aggressive.",racist
"Their race is always looking for trouble.",racist
"People of that race are always trying to play the victim.",racist
"Their race doesn't respect our values.",racist
"People of that race are always trying to take over.",racist
"Their race is always so ungrateful.",racist
"People of that race are always causing problems at work.",racist
"Their race is always so uneducated.",racist
"People of that race are always looking for an excuse.",racist
"Their race is always causing issues in our community.",racist
"People of that race are always so entitled.",racist
"Their race is always trying to take advantage of others.",racist
"People of that race are always so rude and disrespectful.",racist
"Their race is always causing trouble in our schools.",racist
"People of that race are always so lazy and unmotivated.",racist
"Their race is always trying to impose their will.",racist
"People of that race are always so dishonest.",racist
"Their race is always a burden on society.",racist
"People of that race are always causing problems.",racist
"Their race is always trying to take advantage of the system.",racist
"People of that race are always so aggressive and confrontational.",racist
"Their race is always looking for a handout.",racist
"People of that race are always so entitled and demanding.",racist
"Their race is always causing division.",racist
"People of that race are always so lazy and unproductive.",racist
"Their race is always causing trouble.",racist
"People of that race are always looking for an excuse.",racist
"Their race is always trying to blame others.",racist
"People of that race are always so dishonest and untrustworthy.",racist
"Their race is always causing issues in the workplace.",racist
"People of that race are always so loud and disruptive.",racist
"Their race is always trying to impose their culture.",racist
"People of that race are always so entitled and demanding.",racist
"Their race is always causing problems in our community.",racist
"People of that race are always so disrespectful.",racist
"Their race is always trying to take advantage of the system.",racist
"People of that race are always so lazy and unmotivated.",racist
"Their race is always causing issues in our society.",racist
"People of that race are always so dishonest and untrustworthy.",racist
"Their race is always trying to blame others for their problems.",racist
"People of that race are always so entitled and demanding.",racist
"Their race is always a burden on our resources.",racist
"People of that race are always so rude.",racist
"Their race is always trying to cause division.",racist
"People of that race are always so lazy.",racist
"Their race is always causing trouble.",racist
"People of that race are always trying to take advantage.",racist
"Their race is always looking for an excuse.",racist
"People of that race are always so dishonest.",racist
"Their race is always causing issues at work.",racist
"People of that race are always so loud.",racist
"Their race is always trying to impose their culture.",racist
"People of that race are always so entitled.",racist
"Their race is always causing problems in the community.",racist
"People of that race are always so disrespectful.",racist
"Their race is always trying to take advantage of the system.",racist
"People of that race are always so lazy.",racist
"Their race is always causing issues in society.",racist
"People of that race are always so dishonest.",racist
"Their race is always trying to blame others.",racist
"People of that race are always so entitled.",racist
"Their race is always a burden on our resources.",racist
"People of that race are always so rude.",racist
"Their race is always trying to cause division.",racist
"People of that race are always so lazy.",racist
